1648218274,37.148770,-3.624004
1648218285,37.147805,-3.624400
1648218296,37.147132,-3.624644
1648218307,37.147114,-3.624622
1648218318,37.147112,-3.624627
1648218329,37.147112,-3.624627
1648218340,37.147112,-3.624617
1648218351,37.146986,-3.624961
1648218362,37.147047,-3.626066
1648218373,37.147015,-3.626380
1648218384,37.146413,-3.626639
1648218395,37.145707,-3.626945
1648218406,37.144952,-3.627253
1648218417,37.144184,-3.627551
1648218428,37.143651,-3.627918
1648218439,37.143375,-3.628260
1648218450,37.142932,-3.628488
1648218461,37.142718,-3.628139
1648218472,37.142649,-3.628035
1648218483,37.142647,-3.628029
1648218494,37.142684,-3.628059
1648218505,37.142536,-3.627764
1648218516,37.142403,-3.627481
1648218527,37.142143,-3.626926
1648218538,37.142156,-3.626850
1648218549,37.142158,-3.626848
1648218560,37.142178,-3.626789
1648218571,37.142531,-3.626484
1648218582,37.142800,-3.626309
1648218593,37.143090,-3.626055
1648218604,37.143575,-3.625636
1648218616,37.143640,-3.625210
1648218627,37.143331,-3.624535
1648218638,37.143705,-3.624175
1648218649,37.144202,-3.623812
1648218660,37.144660,-3.623290
1648218671,37.145045,-3.622990
1648218682,37.145121,-3.622730
1648218693,37.145247,-3.622258
1648218704,37.145121,-3.621995
1648218715,37.144700,-3.621599
1648218726,37.145030,-3.620995
1648218737,37.145417,-3.620290
1648218748,37.145788,-3.619500
1648218759,37.146145,-3.618777
1648218770,37.146488,-3.618152
1648218781,37.146737,-3.617817
1648218792,37.147014,-3.618005
1648218803,37.146970,-3.618065
1648218814,37.146966,-3.618060
1648218825,37.146894,-3.618171
1648218836,37.146766,-3.618241
1648218847,37.146631,-3.618316
1648218858,37.146503,-3.618386
1648218869,37.146374,-3.618461
1648218880,37.146245,-3.618536
1648218891,37.146218,-3.618547
1648218902,37.146218,-3.618547
1648218913,37.146218,-3.618547
1648218924,37.146218,-3.618547
1648218935,37.146218,-3.618547
1648218946,37.146218,-3.618547
1648218957,37.147087,-3.618670
1648218968,37.147098,-3.618654
1648218979,37.146991,-3.618466
1648218990,37.146996,-3.618472
1648219001,37.147005,-3.618483
1648219012,37.147018,-3.618504
1648219023,37.147023,-3.618515
1648219034,37.147028,-3.618520
1648219045,37.147018,-3.618547
1648219056,37.147023,-3.618547
1648219067,37.147028,-3.618515
1648219078,37.147028,-3.618520
1648219089,37.147028,-3.618520
1648219100,37.147028,-3.618520
1648219111,37.147028,-3.618520
1648219122,37.147479,-3.619861
1648219134,37.147087,-3.618372
1648219145,37.147030,-3.618159
1648219156,37.147029,-3.618164
1648219167,37.147029,-3.618164
1648219178,37.147029,-3.618164
1648219189,37.147028,-3.618164
1648219200,37.147028,-3.618164
1648219211,37.147027,-3.618164
1648219222,37.147026,-3.618164
1648219233,37.147025,-3.618163
1648219244,37.147025,-3.618163
1648219255,37.147025,-3.618163
1648219266,37.147024,-3.618163
1648219277,37.147024,-3.618163
